"Symbol","Name","IPO date","Market cap","IPO book value","Last Close Price","Price over book %","Shares outstanding","Average trading volume","% traded","Action"
"NRAC","Noble Rock Acquisition Corporation - Class A","03/25/2021","$235,704,000","10.00","9.73","-2.70","24,150,000","62,297","0.26%","Analyze"
"PFTA","Portage Fintech Acquisition Corporation Class A Ordinary Share","01/03/2000","$252,117,718","10.00","9.73","-2.70","25,911,379","4,473","0.02%","Analyze"
"PSPC","Post Holdings Partnering Corporation Series A","07/16/2021","$345,223,000","10.00","9.73","-2.70","35,590,000","147,154","0.41%","Analyze"
"SKYA","Skydeck Acquisition Corp. Class A","07/09/2021","$215,674,810","10.00","9.73","-2.70","22,165,962","105,989","0.48%","Analyze"
"SPTK","SportsTek Acquisition Corp. Class A","05/10/2006","$168,532,500","10.00","9.73","-2.70","17,250,000","49,576","0.29%","Analyze"
"TLGA","TLG Acquisition One Corp. Class A","03/22/2021","$389,200,000","10.00","9.73","-2.70","40,000,000","42,018","0.11%","Analyze"
"TSPQ","TCW Special Purpose Acquisition Corp. Class A","04/21/2021","$451,870,732","10.00","9.73","-2.70","46,393,299","71,866","0.15%","Analyze"
"TZPS","TZP Strategies Acquisition Corp. - Class A","03/12/2021","$280,548,250","10.00","9.73","-2.70","28,750,000","6,560","0.02%","Analyze"
"WAVC","Waverley Capital Acquisition Corp. 1 Class A","10/11/2021","$263,372,608","10.00","9.73","-2.70","0","417","0.00%","Analyze"
"AGGR","Agile Growth Corp. Class A","04/30/2021","$301,630,000","10.00","9.72","-2.80","31,000,000","56,591","0.18%","Analyze"
"ASPC","Alpha Capital Acquisition Company - One Class A","04/12/2021","$224,250,000","10.00","9.72","-2.80","23,000,000","12,316","0.05%","Analyze"
"BLNG","Belong Acquisition Corp. Class A","09/13/2021","$145,800,000","10.00","9.72","-2.80","15,000,000","71,091","0.47%","Analyze"
"BLTS","Bright Lights Acquisition Corp. Class A","03/01/2021","$224,710,000","10.00","9.72","-2.80","23,000,000","14,745","0.06%","Analyze"
"CPAR","Catalyst Partners Acquisition Corp. - Class A","07/14/2021","$335,185,614","10.00","9.72","-2.80","34,360,391","79,791","0.23%","Analyze"
"EGGF","EG Acquisition Corp. Class A","07/16/2021","$218,137,500","10.00","9.72","-2.80","22,500,000","44,297","0.20%","Analyze"
"EOCW","Elliott Opportunity II Corp. Class A","08/19/2021","$740,542,528","10.00","9.72","-2.80","0","41,488","0.00%","Analyze"
"GFOR","Graf Acquisition Corp. IV","07/12/2021","$209,809,118","10.00","9.72","-2.80","21,452,875","44,403","0.21%","Analyze"
"GXII","GX Acquisition Corp. II Class A","05/09/2021","$291,600,000","10.00","9.72","-2.80","30,000,000","114,418","0.38%","Analyze"
"HCNE","Jaws Hurricane Acquisition Corp. Class A","08/02/2021","$308,027,500","10.00","9.72","-2.80","31,625,000","65,511","0.21%","Analyze"
"IBER","Ibere Pharmaceuticals Class A","04/19/2021","$133,770,300","10.00","9.72","-2.80","13,800,000","6,169","0.04%","Analyze"
"KSI","Kadem Sustainable Impact Corporation - Class A","11/13/2000","$170,275,000","10.00","9.72","-2.80","17,500,000","11,253","0.06%","Analyze"
"LOKM","Live Oak Mobility Acquisition Corp. Class A","04/22/2021","$245,916,000","10.00","9.72","-2.80","25,300,000","17,766","0.07%","Analyze"
"OSI","Osiris Acquisition Corp. Class A","07/06/2021","$223,560,000","10.00","9.72","-2.80","23,000,000","8,662","0.04%","Analyze"
"AFTR","AfterNext HealthTech Acquisition Corp. Class A","10/04/2021","$312,218,752","10.00","9.71","-2.90","0","54,960","0.00%","Analyze"
"ALPA","Alpha Healthcare Acquisition Corp. III Class A","12/06/2002","$154,466,534","10.00","9.71","-2.90","15,907,985","8,513","0.05%","Analyze"
"AMCI","AMCI Acquisition Corp. II Class A","09/24/2021","$146,400,000","10.00","9.71","-2.90","15,000,000","42,987","0.29%","Analyze"
"ANZU","Anzu Special Acquisition Corp I Class A","04/22/2021","$414,375,000","10.00","9.71","-2.90","42,500,000","40,925","0.10%","Analyze"
"GOBI","Gobi Acquisition Corp. - Class A","06/29/2021","$252,846,135","10.00","9.71","-2.90","25,853,388","2,970","0.01%","Analyze"
"HWEL","Healthwell Acquisition Corp. I Class A","09/23/2021","$242,750,000","10.00","9.71","-2.90","25,000,000","10,119","0.04%","Analyze"
"KIII","Kismet Acquisition Three Corp. Class A","04/12/2021","$279,162,500","10.00","9.71","-2.90","28,750,000","25,043","0.09%","Analyze"
"NBST","Newbury Street Acquisition Corporation","04/16/2021","$162,452,550","10.00","9.71","-2.90","16,661,800","4,197","0.03%","Analyze"
"PSAG","Property Solutions Acquisition Corporation II Class A","04/09/2021","$90,744,501","10.00","9.71","-2.90","9,335,854","3,561","0.04%","Analyze"
"RCLF","Rosecliff Acquisition Corp I - Class A","05/07/2019","$247,434,000","10.00","9.71","-2.90","25,300,000","69,345","0.27%","Analyze"
"SCAQ","Stratim Cloud Acquisition Corp. Class A","05/03/2021","$243,500,000","10.00","9.71","-2.90","25,000,000","29,201","0.12%","Analyze"
"TRTL","TortoiseEcofin Acquisition Corp. III Class A","09/09/2021","$0","10.00","9.71","-2.90","0","37,476","0.00%","Analyze"
"TWLV","Twelve Seas Investment Company II Class A","04/12/2019","$347,020,450","10.00","9.71","-2.90","35,665,000","17,234","0.05%","Analyze"
"ACAH","Atlantic Coastal Acquisition Corp. - Class A","04/26/2021","$334,995,000","10.00","9.70","-3.00","34,500,000","12,121","0.04%","Analyze"
"CLBR","Colombier Acquisition Corp. Class A","07/07/2021","$145,500,000","10.00","9.70","-3.00","15,000,000","55,369","0.37%","Analyze"
"CORS","Corsair Partnering Corporation Class A","08/23/2021","$287,614,816","10.00","9.70","-3.00","0","54,060","0.00%","Analyze"
"PTOC","Pine Technology Acquisition Corp. Class A","05/03/2021","$336,030,000","10.00","9.70","-3.00","34,500,000","30,907","0.09%","Analyze"
"RVAC","Riverview Acquisition Corp. Class A","09/28/2021","$242,500,000","10.00","9.70","-3.00","25,000,000","41,835","0.17%","Analyze"
"TWNT","Tailwind Two Acquisition Corp. Class A","04/23/2021","$334,650,000","10.00","9.70","-3.00","34,500,000","39,508","0.11%","Analyze"
"WALD","Waldencast Acquisition Corp. Class A Ordinary Share","05/10/2021","$337,065,000","10.00","9.70","-3.00","34,500,000","22,176","0.06%","Analyze"
"CNDA","Concord Acquisition Corp II Class A","10/22/2021","$0","10.00","9.69","-3.10","0","1,900","0.00%","Analyze"
"JAQC","Jupiter Acquisition Corporation","10/01/2021","$152,732,327","10.00","9.69","-3.10","15,761,850","189,749","1.20%","Analyze"
"MSAC","Medicus Sciences Acquisition Corp. Class A Ordinary Share","04/05/2021","$90,225,320","10.00","9.69","-3.10","9,292,000","61,263","0.66%","Analyze"
"SMIH","Summit Healthcare Acquisition Corp. Class A","07/30/2021","$194,400,000","10.00","9.69","-3.10","20,000,000","107,031","0.54%","Analyze"
"APTM","Alpha Partners Technology Merger Corp. Class A","09/17/2021","$274,307,500","10.00","9.68","-3.20","28,250,000","25,985","0.09%","Analyze"
"POND","Angel Pond Holdings Corporation Class A","07/09/2021","$257,549,375","10.00","9.68","-3.20","26,551,482","11,618","0.04%","Analyze"
"TIOA","Tio Tech A Class A","06/01/2021","$334,305,000","10.00","9.68","-3.20","34,500,000","16,940","0.05%","Analyze"
"XPAX","XPAC Acquisition Corp. Class A","09/20/2021","$211,924,914","10.00","9.67","-3.30","21,961,131","109,090","0.50%","Analyze"
"BWC","Blue Whale Acquisition Corp I Class A","09/24/2021","$223,902,315","10.00","9.66","-3.40","22,940,811","4,407","0.02%","Analyze"
"KORE","KORE Group Holdings, Inc.","09/27/2021","$504,896,000","10.00","7.13","-28.70","0","913,859","0.00%","Analyze"
"ENPC","Executive Network Partnering Corporation Class A","11/06/2020","$413,837,900","25.00","9.84","-60.64","42,014,000","226,339","0.54%","Analyze"
"MCAER","Mountain Crest Acquisition Corp. III Right","06/17/2021","$69,594,199","10.00","0.56","-94.40","124,297,551","4,439","0.00%","Analyze"
