"Symbol","Name","IPO date","Market cap","Industry","Momentum factor 10","Momentum factor 200","Last Close Price","Shares outstanding","Average trading volume","% traded","Action"
"PRPL","Purple Innovation Inc","10/29/2015","$1,300,215,941","Furnishings, Fixtures & Appliances","0.96","0.67","19.61","66,371,411","1,211,884","1.83%","Analyze"
"DNMR","Danimer Scientific, Inc.","05/28/2020","$1,269,694,000","Specialty Chemicals","1.00","0.55","14.56","97,732,079","1,837,557","1.88%","Analyze"
"ENJY","Enjoy Technology, Inc.","10/13/2021","$1,264,414,848","Software—Application","0.99","1.00","10.65","0","232,282","0.00%","Analyze"
"VLDR","Velodyne Lidar, Inc.","10/26/2018","$1,247,665,846","Scientific & Technical Instruments","0.92","0.49","5.71","195,558,910","3,024,771","1.55%","Analyze"
"IS","ironSource Ltd. Class A","01/15/2021","$1,216,512,000","Software—Application","0.99","1.09","11.50","102,400,000","1,437,694","1.40%","Analyze"
"PAYA","Paya Holdings Inc.","10/19/2020","$1,216,482,667","Credit Services","0.93","0.82","9.21","127,380,384","639,833","0.50%","Analyze"
"MKFG","Markforged Holding Corporation","10/08/2020","$1,213,399,532","Computer Hardware","1.00","0.68","6.71","185,251,837","553,678","0.30%","Analyze"
"INDI","indie Semiconductor, Inc. - Class A","10/04/2019","$1,205,903,840","Semiconductor Equipment & Materials","1.06","1.19","12.46","96,241,328","912,329","0.95%","Analyze"
"ARKO","ARKO Corp.","07/23/2019","$1,204,461,152","Department Stores","0.98","1.00","9.55","124,427,805","279,385","0.22%","Analyze"
"BKSY","BlackSky Technology Inc. Class A","12/20/2019","$1,188,478,019","Scientific & Technical Instruments","1.04","0.96","9.97","115,949,075","579,771","0.50%","Analyze"
"UTZ","Utz Brands Inc Class A","03/02/2020","$1,187,606,501","Packaged Foods","0.99","0.69","15.50","76,570,374","741,984","0.97%","Analyze"
"BWMX","Betterware de Mexico, S.A. de C.V.","03/14/2020","$1,185,718,813","Specialty Retail","0.95","0.79","32.11","36,584,968","35,003","0.10%","Analyze"
"FREY","FREYR Battery","07/06/2021","$1,179,539,135","Electrical Equipment & Parts","1.06","1.13","10.63","116,440,191","855,044","0.73%","Analyze"
"ACEL","Accel Entertainment, Inc.","12/31/1997","$1,130,807,692","Gambling","0.99","1.04","12.13","93,842,962","164,198","0.18%","Analyze"
"TNGX","Tango Therapeutics, Inc.","08/09/2021","$1,128,417,928","Biotechnology","0.95","0.95","12.40","87,474,258","102,229","0.12%","Analyze"
"BHIL","Benson Hill, Inc.","09/27/2021","$1,118,079,616","Farm Products","0.98","0.91","6.32","0","318,613","0.00%","Analyze"
"ME","23andMe Holding Co.","11/23/2020","$1,110,737,055","Diagnostics & Research","1.21","1.20","12.40","93,026,554","3,662,425","3.94%","Analyze"
"PSFE","Paysafe Limited","10/09/2020","$1,107,610,255","Information Technology Services","0.94","0.61","7.36","146,703,345","7,032,386","4.79%","Analyze"
"VIEW","View, Inc. - Class A","10/19/2020","$1,083,212,793","Building Products & Equipment","0.94","0.60","4.65","217,076,712","408,520","0.19%","Analyze"
"OUST","Ouster, Inc.","10/09/2020","$1,081,000,003","Electronic Components","0.95","0.63","6.47","161,343,284","1,171,512","0.73%","Analyze"
"PLBY","PLBY Group, Inc.","08/31/2020","$1,073,000,760","Leisure","1.00","0.95","26.52","40,798,508","917,150","2.25%","Analyze"
"ELMS","Electric Last Mile Solutions, Inc. - Class A","09/21/2020","$1,039,346,361","Auto Manufacturers","1.06","0.84","8.09","124,027,012","509,335","0.41%","Analyze"
"SEAT","Vivid Seats Inc. - Class A","10/12/2020","$1,038,803,846","Internet Content & Information","1.14","1.35","13.75","76,948,433","1,083,953","1.41%","Analyze"
"HUMA","Humacyte, Inc.","08/23/2021","$961,017,984","Biotechnology","0.94","0.76","9.09","0","291,618","0.00%","Analyze"
"QSI","Quantum-Si Incorporated - Class A","06/07/2021","$951,504,017","Biotechnology","0.94","0.82","7.89","116,463,160","582,575","0.50%","Analyze"
"STRC","Sarcos Technology and Robotics Corporation","03/08/2021","$948,880,028","Computer Hardware","1.09","0.75","7.14","142,688,726","168,036","0.12%","Analyze"
"REE","REE Automotive Ltd. - Class A","01/13/2021","$944,996,814","Recreational Vehicles","1.00","0.44","4.05","229,926,232","705,977","0.31%","Analyze"
"CZOO","Cazoo Group Ltd Class A","12/18/2020","$930,985,165","Software—Application","1.16","0.89","8.94","111,228,813","1,024,766","0.92%","Analyze"
"PAE","PAE Incorporated - Class A","08/13/2019","$921,391,169","Specialty Business Services","1.40","1.21","9.90","93,069,815","2,502,802","2.69%","Analyze"
"IMVT","Immunovant, Inc.","06/21/2019","$917,690,991","Biotechnology","0.93","0.54","7.83","114,998,871","458,278","0.40%","Analyze"
"RIDE","Lordstown Motors Corp. - Class A","04/17/2019","$886,658,638","Auto Manufacturers","0.96","0.41","4.80","176,977,772","10,861,334","6.14%","Analyze"
"BODY","The Beachbody Company, Inc. Class A","01/15/2021","$873,021,055","Internet Content & Information","0.98","0.55","5.12","166,925,632","1,525,819","0.91%","Analyze"
"IRNT","IronNet, Inc.","03/23/2020","$869,562,740","Software—Infrastructure","1.47","1.39","16.34","84,423,567","7,906,488","9.37%","Analyze"
"DMTK","DermTech, Inc.","08/10/2017","$848,336,155","Diagnostics & Research","0.91","0.66","27.60","29,610,337","365,815","1.24%","Analyze"
"MNTS","Momentus Inc. - Class A","01/02/2020","$846,383,700","Aerospace & Defense","0.98","0.79","10.56","79,772,262","235,167","0.29%","Analyze"
"CELU","Celularity Inc. - Class A","08/08/2019","$842,025,251","Biotechnology","0.96","0.73","6.75","123,464,113","89,534","0.07%","Analyze"
"IMTX","Immatics N.V.","07/02/2020","$837,942,778","Biotechnology","1.00","1.11","13.45","62,908,617","107,227","0.17%","Analyze"
"ORGN","Origin Materials, Inc. - Class A","05/06/2004","$822,066,095","Chemicals","0.95","0.65","5.76","141,248,470","890,539","0.63%","Analyze"
"ASLE","AerSale Corporation","02/28/2019","$821,189,870","Airports & Air Services","1.12","1.61","21.32","42,949,261","219,598","0.51%","Analyze"
"GNOG","Golden Nugget Online Gaming, Inc. - Class A","12/28/2020","$817,776,154","Gambling","0.99","1.08","17.24","46,570,396","538,811","1.16%","Analyze"
"OSW","OneSpaWorld Holdings Limited","02/28/2005","$806,921,953","Leisure","0.99","1.06","10.94","73,289,914","257,845","0.35%","Analyze"
"MIR","Mirion Technologies, Inc. Class A","08/20/2020","$801,750,000","Specialty Industrial Machinery","1.05","1.03","10.93","75,000,000","2,669,058","3.56%","Analyze"
"MAPS","WM Technology, Inc. - Class A","01/04/1999","$792,907,724","Software—Application","0.92","0.70","12.15","63,738,563","542,575","0.85%","Analyze"
"SPIR","Spire Global, Inc. Class A","12/14/1983","$787,743,531","Specialty Business Services","1.06","0.67","6.20","133,742,535","2,245,930","1.68%","Analyze"
"RDW","Redwire Corporation","01/14/2021","$786,932,191","Aerospace & Defense","1.12","1.25","12.95","59,661,273","2,802,420","4.70%","Analyze"
"EVLV","Evolv Technologies Holdings, Inc. - Class A","09/22/2020","$778,449,031","Security & Protection Services","0.99","0.61","5.59","144,157,228","320,997","0.22%","Analyze"
