"Symbol","Name","IPO date","Market cap","Industry","Momentum factor 10","Momentum factor 200","Last Close Price","Shares outstanding","Average trading volume","% traded","Action"
"EFTR","eFFECTOR Therapeutics, Inc.","03/01/2021","$416,746,783","Biotechnology","0.90","0.91","10.24","40,304,331","479,636","1.19%","Analyze"
"LOTZ","CarLotz, Inc. - Class A","05/09/2019","$412,622,318","Auto & Truck Dealerships","0.95","0.56","3.52","113,670,060","1,055,095","0.93%","Analyze"
"ADN","Advent Technologies Holdings, Inc. - Class A","01/23/2019","$406,855,531","Utilities—Renewable","0.99","0.80","8.75","46,128,745","204,031","0.44%","Analyze"
"OWLT","Owlet, Inc. Class A","11/05/2020","$404,775,372","Medical Devices","0.96","0.41","3.64","112,750,800","878,018","0.78%","Analyze"
"MILE","Metromile, Inc.","11/09/2020","$399,190,472","Insurance—Property & Casualty","0.94","0.33","3.02","126,727,134","2,031,978","1.60%","Analyze"
"SHPW","Shapeways Holdings, Inc.","11/14/2019","$379,610,364","Specialty Industrial Machinery","0.91","0.74","7.33","48,296,484","1,048,366","2.17%","Analyze"
"HFFG","Hf Foods Group Inc.","09/07/2017","$369,623,486","Food Distribution","1.01","1.09","7.07","51,913,411","65,527","0.13%","Analyze"
"NRDY","Nerdy Inc. Class A","11/27/2020","$344,700,000","Software—Application","0.91","0.76","7.76","45,000,000","1,094,968","2.43%","Analyze"
"CLNN","Clene Inc.","08/27/2018","$341,895,792","Biotechnology","0.95","0.57","5.59","61,492,049","154,149","0.25%","Analyze"
"PHUN","Phunware, Inc.","04/20/2005","$330,646,850","Software—Application","1.51","3.13","4.78","76,010,770","65,405,741","86.05%","Analyze"
"AGIL","AgileThought, Inc. - Class A","01/14/2020","$321,077,500","Software—Application","0.94","0.74","7.66","41,970,915","143,436","0.34%","Analyze"
"XELA","Exela Technologies Inc","03/27/2015","$319,097,750","Software—Application","0.98","0.79","1.70","166,196,745","20,464,122","12.31%","Analyze"
"KXIN","Kaixin Auto Holdings","05/02/2019","$309,874,669","Auto & Truck Dealerships","0.96","0.75","2.13","143,460,495","636,305","0.44%","Analyze"
